Meeting Name,Meeting Key,Meeting Description,Grade,Semester,Agenda Item Key,Agenda Item Title,Dont Create With Roadmap,Agenda Item Counselor Instructions,Meeting Counselor Instructions,Task Key,Task Name,Task Description,Task Type,Task User Type,Form,Repeats,Content
Parent Kickoff,premier_9_2-parent-kickoff-9-2,"In this meeting, reserved just for parent and counselor, we’ll learn more about your family’s priorities so we can develop an admissions plan that will help you reach your specific goals.",9,2,premier_9_2-review-intake-questionnaire,Review intake questionnaire,,Review intake questionnaire. If other needs are uncovered during this conversation connect family to their Strategist to evaluate what additional support is needed. ,,premier-9-2 Complete Intake Questionnaire (parents),Complete Intake Questionnaire (parents),,pre,parent,Parent Intake Questionnaire,,Intake Questionnaire (parent). Welcome to Collegewise video (parent). Character Counts. Podcast Ep 1 & 2
Parent Kickoff,premier_9_2-parent-kickoff-9-2,"In this meeting, reserved just for parent and counselor, we’ll learn more about your family’s priorities so we can develop an admissions plan that will help you reach your specific goals.",9,2,premier_9_2-review-intake-questionnaire,Review intake questionnaire,,Review intake questionnaire. If other needs are uncovered during this conversation connect family to their Strategist to evaluate what additional support is needed. ,,premier-9-2 Optional - Listen to Get Wise Podcast. Episode 1 & 2,Optional - Listen to Get Wise Podcast. Episode 1 & 2,,post,parent,,,Intake Questionnaire (parent). Welcome to Collegewise video (parent). Character Counts. Podcast Ep 1 & 2
Parent Kickoff,premier_9_2-parent-kickoff-9-2,,9,2,premier_9_2-discuss-cadence-of-the-program,Discuss cadence of the program,,,,premier-9-2 Watch Welcome to Collegewise (parent).,Watch Welcome to Collegewise (parent).,,pre,parent,,,
Parent Kickoff,premier_9_2-parent-kickoff-9-2,,9,2,premier_9_2-discuss-cadence-of-the-program,Discuss cadence of the program,,,,premier-9-2 Watch Character Counts,Watch Character Counts,,pre,parent,,,
Parent Kickoff,premier_9_2-parent-kickoff-9-2,,9,2,premier_9_2-schoolnet-communication,UMS communication,,Best way to communicate via UMS including a tutorial of the system ,,,,,,,,,
Student Kickoff,premier_9_2-student-kickoff-9-2,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",9,2,premier_9_2-review-getting-to-know-you-questionnaire,Review Getting to Know You Questionnaire,,,,premier-9-2 Complete Getting to Know You (students),Complete Getting to Know You (students),,pre,student,Getting To Know You!,,Getting to Know You (student). Welcome to Collegewise (student). Character Counts
Student Kickoff,premier_9_2-student-kickoff-9-2,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",9,2,premier_9_2-review-getting-to-know-you-questionnaire,Review Getting to Know You Questionnaire,,,,premier-9-2 Watch Welcome to Collegewise video (student).,Watch Welcome to Collegewise video (student).,,pre,student,,,Getting to Know You (student). Welcome to Collegewise (student). Character Counts
Student Kickoff,premier_9_2-student-kickoff-9-2,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",9,2,premier_9_2-review-getting-to-know-you-questionnaire,Review Getting to Know You Questionnaire,,,,premier-9-2 Watch Character Counts,Watch Character Counts,,pre,student,,,Getting to Know You (student). Welcome to Collegewise (student). Character Counts
Student Kickoff,premier_9_2-student-kickoff-9-2,,9,2,premier_9_2-review-transcript,Review transcript,,"Review transcript to-date. What are they taking, how are they going, etc. ",,"premier-9-2 Compile and send relevant academic information: transcripts, test scores, etc","Compile and send relevant academic information: transcripts, test scores, etc",,pre,student,,,
Student Kickoff,premier_9_2-student-kickoff-9-2,,9,2,premier_9_2-evaluate-academic-performance-study-skills,Evaluate academic performance & study skills,,Evaluate academic performance and study skills and identify any necessary tutoring support needed. ,,,,,,,,,
Assessing your Strengths,premier_9_2-assessing-your-strengths-9-2,Happy and successful high school students know their strengths and how to use them. We’ll help you identify yours so you can thrive by doing more of what you do best.  ,9,2,premier_9_2-review-strength-finders-results,Review Strength Finders results,,Review Strength Finders results. Discuss implications of results – how and where they can influence and create impact ,,premier-9-2 Complete Strength Finders,Complete Strength Finders,,pre,student,,,Strength Finders. Goal Setting Progress Report
Assessing your Strengths,premier_9_2-assessing-your-strengths-9-2,,9,2,premier_9_2-goal-setting-progress-report,Goal Setting Progress Report,,Fill out goals in the Goal Setting Progress Report. Set benchmark dates to check in on progress ,,,,,,,,,
Academics & 10th Grade Course Selection,premier_9_2-academics-10th-grade-course-selection-9-2,"We’ll help you plan a course schedule that challenges you, plays to your strengths, and leads to maximum academic opportunities in high school.  ",9,2,premier_9_2-discuss-course-selection-in-relation-to-college-admission,Discuss course selection in relation to college admission,,"Discuss why course selection, rigor, and performance matter in the admissions process. Discuss the importance of classroom engagement. Ask about how they are learning outside the classroom and what ways they learn best. ",,premier-9-2 Watch What do colleges evaluate from 9th and 10th grade?,Watch What do colleges evaluate from 9th and 10th grade?,,pre,student,,,What do colleges evaluate from 9th and 10th grade. Podcast Summary Video: Every year of high school matters. Making Caring Common. Goal Setting Progress Report.
Academics & 10th Grade Course Selection,premier_9_2-academics-10th-grade-course-selection-9-2,"We’ll help you plan a course schedule that challenges you, plays to your strengths, and leads to maximum academic opportunities in high school.  ",9,2,premier_9_2-discuss-course-selection-in-relation-to-college-admission,Discuss course selection in relation to college admission,,"Discuss why course selection, rigor, and performance matter in the admissions process. Discuss the importance of classroom engagement. Ask about how they are learning outside the classroom and what ways they learn best. ",,premier-9-2 Watch Podcast Summary Video: Every year of high school matters,Watch Podcast Summary Video: Every year of high school matters,,pre,student,,,What do colleges evaluate from 9th and 10th grade. Podcast Summary Video: Every year of high school matters. Making Caring Common. Goal Setting Progress Report.
Academics & 10th Grade Course Selection,premier_9_2-academics-10th-grade-course-selection-9-2,"We’ll help you plan a course schedule that challenges you, plays to your strengths, and leads to maximum academic opportunities in high school.  ",9,2,premier_9_2-discuss-course-selection-in-relation-to-college-admission,Discuss course selection in relation to college admission,,"Discuss why course selection, rigor, and performance matter in the admissions process. Discuss the importance of classroom engagement. Ask about how they are learning outside the classroom and what ways they learn best. ",,premier-9-2 Read Making Caring Common,Read Making Caring Common,,post,parent,,,What do colleges evaluate from 9th and 10th grade. Podcast Summary Video: Every year of high school matters. Making Caring Common. Goal Setting Progress Report.
Academics & 10th Grade Course Selection,premier_9_2-academics-10th-grade-course-selection-9-2,,9,2,premier_9_2-4-year-course-plan,4-year Course Plan,,1. Discuss their academic inventory and takeaways                                                                                      2. Discuss and finalize proposed 4-year plan ,,"premier-9-2 Next meeting, we’ll be doing an academic inventory. We’ll talk about your favorite class/teachers, strengths, struggles, level of interest in certain subjects, best/worst academic moments and what you learned from it, etc. If it would help to take notes beforehand, you can do so here. (have empty text box to enter notes)","Next meeting, we’ll be doing an academic inventory. We’ll talk about your favorite class/teachers, strengths, struggles, level of interest in certain subjects, best/worst academic moments and what you learned from it, etc. If it would help to take notes beforehand, you can do so here. (have empty text box to enter notes)",,pre,student,,,
Academics & 10th Grade Course Selection,premier_9_2-academics-10th-grade-course-selection-9-2,,9,2,premier_9_2-4-year-course-plan,4-year Course Plan,,1. Discuss their academic inventory and takeaways                                                                                      2. Discuss and finalize proposed 4-year plan ,,premier-9-2 Fill in the Coursework section with all final grades from 9th.,Fill in the Coursework section with all final grades from 9th.,,pre,student,,,
Academics & 10th Grade Course Selection,premier_9_2-academics-10th-grade-course-selection-9-2,,9,2,premier_9_2-4-year-course-plan,4-year Course Plan,,1. Discuss their academic inventory and takeaways                                                                                      2. Discuss and finalize proposed 4-year plan ,,premier-9-2 Build out a preliminary 4-year course plan under the Course Planning tab in the Academic section. What would you take each year?,Build out a preliminary 4-year course plan under the Course Planning tab in the Academic section. What would you take each year?,,pre,student,,,
